activity subject variable mean
walking_downstairs 18 tBodyAccJerk.mean...Z -0.01417699182
walking_downstairs 19 tBodyAccJerk.mean...Z -0.00955202497435897
walking_downstairs 20 tBodyAccJerk.mean...Z -0.00253482149777778
walking_downstairs 21 tBodyAccJerk.mean...Z -0.0125551085533333
walking_downstairs 22 tBodyAccJerk.mean...Z 0.0112499015
walking_downstairs 23 tBodyAccJerk.mean...Z -0.000982717101851849
walking_downstairs 24 tBodyAccJerk.mean...Z -0.00846915857363636
walking_downstairs 25 tBodyAccJerk.mean...Z -0.0113348791672414
walking_downstairs 26 tBodyAccJerk.mean...Z -0.01189114264
walking_downstairs 27 tBodyAccJerk.mean...Z -0.00985034750909091
walking_downstairs 28 tBodyAccJerk.mean...Z 0.00123950141304348
walking_downstairs 29 tBodyAccJerk.mean...Z -0.0140642983104167
walking_downstairs 30 tBodyAccJerk.mean...Z -0.0118301423032258
walking_upstairs 1 tBodyAccJerk.mean...Z -0.0455625449113208
walking_upstairs 2 tBodyAccJerk.mean...Z 0.01948143925
walking_upstairs 3 tBodyAccJerk.mean...Z 0.0208205538101695
walking_upstairs 4 tBodyAccJerk.mean...Z 0.00340280836730769
walking_upstairs 5 tBodyAccJerk.mean...Z -0.025590953282766
walking_upstairs 6 tBodyAccJerk.mean...Z -0.00237816579411765
walking_upstairs 7 tBodyAccJerk.mean...Z -7.4519666666666e-05
walking_upstairs 8 tBodyAccJerk.mean...Z -0.0674583919268293
walking_upstairs 9 tBodyAccJerk.mean...Z 0.00766046602367347
walking_upstairs 10 tBodyAccJerk.mean...Z -0.0513375831851064
walking_upstairs 11 tBodyAccJerk.mean...Z -0.0151463896833333
walking_upstairs 12 tBodyAccJerk.mean...Z 0.00906662793461539
walking_upstairs 13 tBodyAccJerk.mean...Z -0.0254126299290909
walking_upstairs 14 tBodyAccJerk.mean...Z 0.00344199486481481
walking_upstairs 15 tBodyAccJerk.mean...Z -0.00525879898958333
walking_upstairs 16 tBodyAccJerk.mean...Z 0.0380533591627451
walking_upstairs 17 tBodyAccJerk.mean...Z 0.00759533846458334
walking_upstairs 18 tBodyAccJerk.mean...Z 0.0093589662862069
walking_upstairs 19 tBodyAccJerk.mean...Z 0.0316681980575
walking_upstairs 20 tBodyAccJerk.mean...Z -0.024542099304902
walking_upstairs 21 tBodyAccJerk.mean...Z -0.0360115472978723
walking_upstairs 22 tBodyAccJerk.mean...Z -0.033616970907381
walking_upstairs 23 tBodyAccJerk.mean...Z 0.0159234167843137
walking_upstairs 24 tBodyAccJerk.mean...Z -0.0132353651798305
walking_upstairs 25 tBodyAccJerk.mean...Z -0.0116906813498462
walking_upstairs 26 tBodyAccJerk.mean...Z -0.0117089275472727
walking_upstairs 27 tBodyAccJerk.mean...Z 0.0067467910745098
walking_upstairs 28 tBodyAccJerk.mean...Z 0.00749081657058823
walking_upstairs 29 tBodyAccJerk.mean...Z -0.0290713871612245
walking_upstairs 30 tBodyAccJerk.mean...Z 0.0161506198923077
laying 1 tBodyGyro.mean...X -0.016553093978
laying 2 tBodyGyro.mean...X -0.01847660675
laying 3 tBodyGyro.mean...X -0.0208170540330645
laying 4 tBodyGyro.mean...X -0.00923156347222222
laying 5 tBodyGyro.mean...X -0.0218935013501923
laying 6 tBodyGyro.mean...X -0.0079605026754386
laying 7 tBodyGyro.mean...X -0.00282641913096154
laying 8 tBodyGyro.mean...X 0.00535361206851852
laying 9 tBodyGyro.mean...X -0.013632036148
laying 10 tBodyGyro.mean...X -0.019555937162069
laying 11 tBodyGyro.mean...X -0.0191743840136842
laying 12 tBodyGyro.mean...X -0.0146546807316667
laying 13 tBodyGyro.mean...X -0.00973609968045161
laying 14 tBodyGyro.mean...X 0.00505221181607843
laying 15 tBodyGyro.mean...X -0.0168300887791667
laying 16 tBodyGyro.mean...X -0.0161545406857143
laying 17 tBodyGyro.mean...X -0.0234756467113239
laying 18 tBodyGyro.mean...X -0.02517618068
laying 19 tBodyGyro.mean...X -0.0312072730559566
laying 20 tBodyGyro.mean...X -0.0231760616308824
laying 21 tBodyGyro.mean...X -0.0305126188777778
laying 22 tBodyGyro.mean...X -0.0208311371125
laying 23 tBodyGyro.mean...X -0.0113399724663889
laying 24 tBodyGyro.mean...X -0.0143679929444444
laying 25 tBodyGyro.mean...X 0.00372723459589041
laying 26 tBodyGyro.mean...X -0.0170656239526316
laying 27 tBodyGyro.mean...X -0.0195427328781081
laying 28 tBodyGyro.mean...X -0.017367705735
laying 29 tBodyGyro.mean...X -0.0258281004782609
laying 30 tBodyGyro.mean...X -0.0267812218571429
sitting 1 tBodyGyro.mean...X -0.045350056512766
sitting 2 tBodyGyro.mean...X -0.0454706620434783
sitting 3 tBodyGyro.mean...X -0.0385365204807692
sitting 4 tBodyGyro.mean...X -0.04944351156
sitting 5 tBodyGyro.mean...X -0.0422355209795455
sitting 6 tBodyGyro.mean...X -0.0372442282830909
sitting 7 tBodyGyro.mean...X -0.04963797197125
sitting 8 tBodyGyro.mean...X -0.0547396987173913
sitting 9 tBodyGyro.mean...X -0.042328876778
sitting 10 tBodyGyro.mean...X -0.0432432176851852
sitting 11 tBodyGyro.mean...X -0.0399984915849057
sitting 12 tBodyGyro.mean...X -0.0424159182941176
sitting 13 tBodyGyro.mean...X -0.0355124856836735
sitting 14 tBodyGyro.mean...X -0.0440403326851852
sitting 15 tBodyGyro.mean...X -0.0377111130338983
sitting 16 tBodyGyro.mean...X -0.0412014042275362
sitting 17 tBodyGyro.mean...X -0.042549159015625
sitting 18 tBodyGyro.mean...X -0.0333057034385965
sitting 19 tBodyGyro.mean...X -0.0214151280054795
sitting 20 tBodyGyro.mean...X -0.036405928969697
sitting 21 tBodyGyro.mean...X -0.0198712820612471
sitting 22 tBodyGyro.mean...X -0.0360430675032258
sitting 23 tBodyGyro.mean...X -0.0472583464367647
sitting 24 tBodyGyro.mean...X -0.0356229619955882
sitting 25 tBodyGyro.mean...X -0.0352052091230769
sitting 26 tBodyGyro.mean...X -0.0370217449628205
sitting 27 tBodyGyro.mean...X -0.0371830822285714
sitting 28 tBodyGyro.mean...X -0.0339018030166667
sitting 29 tBodyGyro.mean...X -0.0379271112333333
sitting 30 tBodyGyro.mean...X -0.0358426482048387
standing 1 tBodyGyro.mean...X -0.0239877347979245
standing 2 tBodyGyro.mean...X -0.0238623875712963
standing 3 tBodyGyro.mean...X -0.0246626070770492
standing 4 tBodyGyro.mean...X -0.0306449342357143
standing 5 tBodyGyro.mean...X -0.0322711902673214
standing 6 tBodyGyro.mean...X -0.028251913022807
standing 7 tBodyGyro.mean...X -0.0291582212545283
standing 8 tBodyGyro.mean...X -0.0219671978203704
standing 9 tBodyGyro.mean...X -0.029183136346
standing 10 tBodyGyro.mean...X -0.0281854325604545
standing 11 tBodyGyro.mean...X -0.0293141521489362
standing 12 tBodyGyro.mean...X -0.0300030427426229
standing 13 tBodyGyro.mean...X -0.0295492164431579
standing 14 tBodyGyro.mean...X -0.0220886526891667
standing 15 tBodyGyro.mean...X -0.0262433562254717
standing 16 tBodyGyro.mean...X -0.0299337294166667
standing 17 tBodyGyro.mean...X -0.0269576937130769
standing 18 tBodyGyro.mean...X -0.0265873248835616
standing 19 tBodyGyro.mean...X -0.025090574020274
standing 20 tBodyGyro.mean...X -0.0241335049573973
standing 21 tBodyGyro.mean...X -0.0191731896359551
standing 22 tBodyGyro.mean...X -0.0275201762126984
standing 23 tBodyGyro.mean...X -0.0327397745133823
standing 24 tBodyGyro.mean...X -0.0278611511434783
standing 25 tBodyGyro.mean...X -0.0247946750959459
standing 26 tBodyGyro.mean...X -0.0245345837959459
standing 27 tBodyGyro.mean...X -0.026731653905
standing 28 tBodyGyro.mean...X -0.0253281543540506
standing 29 tBodyGyro.mean...X -0.0276075573307692
standing 30 tBodyGyro.mean...X -0.027613853538983
walking 1 tBodyGyro.mean...X -0.041830963526
walking 2 tBodyGyro.mean...X -0.0530258157347458
walking 3 tBodyGyro.mean...X -0.0256405192517241
walking 4 tBodyGyro.mean...X -0.0317982557795
walking 5 tBodyGyro.mean...X -0.0488919896632143
walking 6 tBodyGyro.mean...X -0.025509618645614
walking 7 tBodyGyro.mean...X 0.00228835208526316
walking 8 tBodyGyro.mean...X 0.0235088228254167
walking 9 tBodyGyro.mean...X -0.0808360598653846
walking 10 tBodyGyro.mean...X 0.0106894976215094
walking 11 tBodyGyro.mean...X -0.0426928995457627
walking 12 tBodyGyro.mean...X -0.1045136708758
walking 13 tBodyGyro.mean...X -0.0174207634701754
walking 14 tBodyGyro.mean...X -0.00347655062271186
walking 15 tBodyGyro.mean...X -0.0554883847662963
walking 16 tBodyGyro.mean...X -0.0151721912792157
walking 17 tBodyGyro.mean...X -0.00922265519180328
walking 18 tBodyGyro.mean...X -0.0399399716026786
walking 19 tBodyGyro.mean...X -0.0274970979894231
walking 20 tBodyGyro.mean...X -0.0234104225980392
walking 21 tBodyGyro.mean...X -0.0459323393842308
walking 22 tBodyGyro.mean...X 0.0007771571
walking 23 tBodyGyro.mean...X -0.0631156870355932
walking 24 tBodyGyro.mean...X -0.0545126870724138
walking 25 tBodyGyro.mean...X -0.0156305378067568
walking 26 tBodyGyro.mean...X -0.00334085938813559
walking 27 tBodyGyro.mean...X -0.08558835714
walking 28 tBodyGyro.mean...X -0.105896207861111
walking 29 tBodyGyro.mean...X -0.00795668167188679
walking 30 tBodyGyro.mean...X -0.0459505355861538
walking_downstairs 1 tBodyGyro.mean...X -0.0350781902989796
walking_downstairs 2 tBodyGyro.mean...X -0.11594735287234
walking_downstairs 3 tBodyGyro.mean...X -0.13157327645102
walking_downstairs 4 tBodyGyro.mean...X -0.102838822533333
walking_downstairs 5 tBodyGyro.mean...X -0.068294569906383
walking_downstairs 6 tBodyGyro.mean...X -0.0960837437708333
walking_downstairs 7 tBodyGyro.mean...X -0.105409612961702
walking_downstairs 8 tBodyGyro.mean...X -0.121189625973684
walking_downstairs 9 tBodyGyro.mean...X -0.0916383011071429
walking_downstairs 10 tBodyGyro.mean...X -0.124839594289474
walking_downstairs 11 tBodyGyro.mean...X -0.12506869905
walking_downstairs 12 tBodyGyro.mean...X -0.112531564434783
walking_downstairs 13 tBodyGyro.mean...X -0.122672201757447
walking_downstairs 14 tBodyGyro.mean...X -0.0147079653333333
walking_downstairs 15 tBodyGyro.mean...X -0.136618653071429
walking_downstairs 16 tBodyGyro.mean...X -0.0225373369978723
walking_downstairs 17 tBodyGyro.mean...X 0.0677728390673913
walking_downstairs 18 tBodyGyro.mean...X -0.0576548655654545
walking_downstairs 19 tBodyGyro.mean...X -0.205775427307692
walking_downstairs 20 tBodyGyro.mean...X -0.111367747557778
walking_downstairs 21 tBodyGyro.mean...X -0.126388023595556
walking_downstairs 22 tBodyGyro.mean...X -0.0779611213138889
walking_downstairs 23 tBodyGyro.mean...X -0.0578230190203704
walking_downstairs 24 tBodyGyro.mean...X -0.0867069010690909
walking_downstairs 25 tBodyGyro.mean...X 0.00299112856551724
walking_downstairs 26 tBodyGyro.mean...X -0.010752208236
walking_downstairs 27 tBodyGyro.mean...X -0.159826551905227
walking_downstairs 28 tBodyGyro.mean...X -0.141096309502174
walking_downstairs 29 tBodyGyro.mean...X -0.0374126070957292
walking_downstairs 30 tBodyGyro.mean...X -0.0745591301759677
walking_upstairs 1 tBodyGyro.mean...X 0.050549379754717
walking_upstairs 2 tBodyGyro.mean...X -0.0576912634583333
walking_upstairs 3 tBodyGyro.mean...X 0.0721980309322034
walking_upstairs 4 tBodyGyro.mean...X 0.0393825198942308
walking_upstairs 5 tBodyGyro.mean...X 0.0395191121489362
walking_upstairs 6 tBodyGyro.mean...X -0.0767406825588235
walking_upstairs 7 tBodyGyro.mean...X -0.138778108029412
walking_upstairs 8 tBodyGyro.mean...X 0.19270447595122
walking_upstairs 9 tBodyGyro.mean...X -0.16396719
walking_upstairs 10 tBodyGyro.mean...X 0.0733447168425532
walking_upstairs 11 tBodyGyro.mean...X -0.0820909701727778
walking_upstairs 12 tBodyGyro.mean...X -0.0931234101769231
walking_upstairs 13 tBodyGyro.mean...X -0.13829376226
walking_upstairs 14 tBodyGyro.mean...X 0.0813841685037037
walking_upstairs 15 tBodyGyro.mean...X 0.0903340029875
walking_upstairs 16 tBodyGyro.mean...X 0.0718408878078431
walking_upstairs 17 tBodyGyro.mean...X -0.0304250571395833
walking_upstairs 18 tBodyGyro.mean...X -0.0470683915017241
walking_upstairs 19 tBodyGyro.mean...X 0.0388537087875
walking_upstairs 20 tBodyGyro.mean...X 0.0659193258862745
walking_upstairs 21 tBodyGyro.mean...X 0.062608688893617
walking_upstairs 22 tBodyGyro.mean...X 0.13497880785381
walking_upstairs 23 tBodyGyro.mean...X 0.0957940245941176
walking_upstairs 24 tBodyGyro.mean...X 0.0883163772152542
walking_upstairs 25 tBodyGyro.mean...X 0.0556121923307692
walking_upstairs 26 tBodyGyro.mean...X -0.0247950825654545
walking_upstairs 27 tBodyGyro.mean...X -0.0940344886803922
walking_upstairs 28 tBodyGyro.mean...X -0.129362970764706
walking_upstairs 29 tBodyGyro.mean...X 0.0931989463020408
walking_upstairs 30 tBodyGyro.mean...X -0.00355974576923077
laying 1 tBodyGyro.mean...Y -0.064486124088
laying 2 tBodyGyro.mean...Y -0.111800824583333
laying 3 tBodyGyro.mean...Y -0.0718507159435484
laying 4 tBodyGyro.mean...Y -0.0930128180759259
laying 5 tBodyGyro.mean...Y -0.0798709596153846
laying 6 tBodyGyro.mean...Y -0.107218315054386
laying 7 tBodyGyro.mean...Y -0.133605695057692
laying 8 tBodyGyro.mean...Y -0.0891374138592593
laying 9 tBodyGyro.mean...Y -0.15890291983
laying 10 tBodyGyro.mean...Y -0.0770325657265517
laying 11 tBodyGyro.mean...Y -0.041559989822807
laying 12 tBodyGyro.mean...Y -0.0835537350333333
laying 13 tBodyGyro.mean...Y -0.0966250701451613
laying 14 tBodyGyro.mean...Y -0.153423807745098
laying 15 tBodyGyro.mean...Y -0.0619700871944444
laying 16 tBodyGyro.mean...Y -0.113675060885714
laying 17 tBodyGyro.mean...Y -0.0944580192535211
laying 18 tBodyGyro.mean...Y -0.0837587308153846
laying 19 tBodyGyro.mean...Y -0.0952628014096386
laying 20 tBodyGyro.mean...Y -0.0954899626029412
laying 21 tBodyGyro.mean...Y -0.113800486377778
laying 22 tBodyGyro.mean...Y -0.09257231175
laying 23 tBodyGyro.mean...Y -0.105052917
laying 24 tBodyGyro.mean...Y -0.0955538053611111
laying 25 tBodyGyro.mean...Y -0.0716401726150685
laying 26 tBodyGyro.mean...Y -0.0903229228815789
laying 27 tBodyGyro.mean...Y -0.0957839566891892
laying 28 tBodyGyro.mean...Y -0.097448733725
laying 29 tBodyGyro.mean...Y -0.0761814357028986
laying 30 tBodyGyro.mean...Y -0.0761476351714286
sitting 1 tBodyGyro.mean...Y -0.0919241549361702
sitting 2 tBodyGyro.mean...Y -0.0599286797043478
sitting 3 tBodyGyro.mean...Y -0.07524100275
sitting 4 tBodyGyro.mean...Y -0.08943006108
sitting 5 tBodyGyro.mean...Y -0.0835484079545455
sitting 6 tBodyGyro.mean...Y -0.0899083302550909
sitting 7 tBodyGyro.mean...Y -0.03361196465625
sitting 8 tBodyGyro.mean...Y -0.0955089236521739
sitting 9 tBodyGyro.mean...Y -0.04142711812
sitting 10 tBodyGyro.mean...Y -0.0679993598888889
sitting 11 tBodyGyro.mean...Y -0.0755284478679245
sitting 12 tBodyGyro.mean...Y -0.0751980398235294
sitting 13 tBodyGyro.mean...Y -0.0902687401836735
sitting 14 tBodyGyro.mean...Y -0.0713478280925926
sitting 15 tBodyGyro.mean...Y -0.0803428762830509
sitting 16 tBodyGyro.mean...Y -0.0574525433043478
sitting 17 tBodyGyro.mean...Y -0.0669245931234375
sitting 18 tBodyGyro.mean...Y -0.0685796341105263
sitting 19 tBodyGyro.mean...Y -0.0520207886438356
sitting 20 tBodyGyro.mean...Y -0.0650689347121212
sitting 21 tBodyGyro.mean...Y -0.0653077503317647
sitting 22 tBodyGyro.mean...Y -0.0793617444354839
sitting 23 tBodyGyro.mean...Y -0.0684325551029412
sitting 24 tBodyGyro.mean...Y -0.0750132697044118
sitting 25 tBodyGyro.mean...Y -0.0748002714615385
sitting 26 tBodyGyro.mean...Y -0.0840648503320513
sitting 27 tBodyGyro.mean...Y -0.0797345645214286
sitting 28 tBodyGyro.mean...Y -0.0673943850555556
sitting 29 tBodyGyro.mean...Y -0.0755797672133333
sitting 30 tBodyGyro.mean...Y -0.074353558416129
standing 1 tBodyGyro.mean...Y -0.0593972209811321
standing 2 tBodyGyro.mean...Y -0.0820396577592593
standing 3 tBodyGyro.mean...Y -0.0585101918262295
standing 4 tBodyGyro.mean...Y -0.061824850625
standing 5 tBodyGyro.mean...Y -0.050987505
standing 6 tBodyGyro.mean...Y -0.0589823639438597
standing 7 tBodyGyro.mean...Y -0.0774336443396226
standing 8 tBodyGyro.mean...Y -0.0280117633814815
standing 9 tBodyGyro.mean...Y -0.060810158296
standing 10 tBodyGyro.mean...Y -0.0876820486363636
standing 11 tBodyGyro.mean...Y -0.0765465041914894
standing 12 tBodyGyro.mean...Y -0.0700083750360656
standing 13 tBodyGyro.mean...Y -0.0753205243684211
standing 14 tBodyGyro.mean...Y -0.05581088271
standing 15 tBodyGyro.mean...Y -0.0659637517169811
standing 16 tBodyGyro.mean...Y -0.068667733
standing 17 tBodyGyro.mean...Y -0.0770632126371795
standing 18 tBodyGyro.mean...Y -0.0732260127945206
standing 19 tBodyGyro.mean...Y -0.0631429827260274
standing 20 tBodyGyro.mean...Y -0.0698308923617808
standing 21 tBodyGyro.mean...Y -0.0738115865407865
standing 22 tBodyGyro.mean...Y -0.0690067688269841
standing 23 tBodyGyro.mean...Y -0.0652264793213235
standing 24 tBodyGyro.mean...Y -0.0692546674492754
standing 25 tBodyGyro.mean...Y -0.0698876853378378
standing 26 tBodyGyro.mean...Y -0.0731385762635135
standing 27 tBodyGyro.mean...Y -0.067507120075
standing 28 tBodyGyro.mean...Y -0.0739001646962025
standing 29 tBodyGyro.mean...Y -0.0721060679123077
standing 30 tBodyGyro.mean...Y -0.0670334379830509
walking 1 tBodyGyro.mean...Y -0.0695300462115789
walking 2 tBodyGyro.mean...Y -0.0482382316949153
walking 3 tBodyGyro.mean...Y -0.0779150937413793
walking 4 tBodyGyro.mean...Y -0.0726905278583333
walking 5 tBodyGyro.mean...Y -0.0690135249642857
walking 6 tBodyGyro.mean...Y -0.0744462466
walking 7 tBodyGyro.mean...Y -0.0837113724842105
walking 8 tBodyGyro.mean...Y -0.095791790535
walking 9 tBodyGyro.mean...Y -0.0625598710615385
walking 10 tBodyGyro.mean...Y -0.0819540783760943
walking 11 tBodyGyro.mean...Y -0.0705104974254237
walking 12 tBodyGyro.mean...Y -0.03442910782
walking 13 tBodyGyro.mean...Y -0.0798472502663158
walking 14 tBodyGyro.mean...Y -0.0829682847966102
walking 15 tBodyGyro.mean...Y -0.06124278833
walking 16 tBodyGyro.mean...Y -0.0695955689607843
walking 17 tBodyGyro.mean...Y -0.0839773343770492
walking 18 tBodyGyro.mean...Y -0.0613727362975
walking 19 tBodyGyro.mean...Y -0.0751569333730769
walking 20 tBodyGyro.mean...Y -0.074105054612549
walking 21 tBodyGyro.mean...Y -0.0590294439942308
walking 22 tBodyGyro.mean...Y -0.0960880731804348
walking 23 tBodyGyro.mean...Y -0.0640197920966102
walking 24 tBodyGyro.mean...Y -0.0658435879913793
walking 25 tBodyGyro.mean...Y -0.0820768065347297
walking 26 tBodyGyro.mean...Y -0.0841507651508475
walking 27 tBodyGyro.mean...Y -0.0365348163649123
walking 28 tBodyGyro.mean...Y -0.0172822168012963
walking 29 tBodyGyro.mean...Y -0.081960153154717
walking 30 tBodyGyro.mean...Y -0.0649170927338462
walking_downstairs 1 tBodyGyro.mean...Y -0.0909371290204082
walking_downstairs 2 tBodyGyro.mean...Y -0.00482329231914894
walking_downstairs 3 tBodyGyro.mean...Y -0.0139358043959184
walking_downstairs 4 tBodyGyro.mean...Y -0.0704025952333333
walking_downstairs 5 tBodyGyro.mean...Y -0.0707805998787234
walking_downstairs 6 tBodyGyro.mean...Y -0.0341782208604167
walking_downstairs 7 tBodyGyro.mean...Y -0.049717460606383
walking_downstairs 8 tBodyGyro.mean...Y -0.0500760173342105
walking_downstairs 9 tBodyGyro.mean...Y -0.0712598843142857
walking_downstairs 10 tBodyGyro.mean...Y -0.106742538831579
walking_downstairs 11 tBodyGyro.mean...Y -0.0262775345369565
walking_downstairs 12 tBodyGyro.mean...Y -0.0427336692521739
walking_downstairs 13 tBodyGyro.mean...Y -0.0237205719148936
walking_downstairs 14 tBodyGyro.mean...Y -0.0945288409066667
walking_downstairs 15 tBodyGyro.mean...Y -0.0346755727619048
walking_downstairs 16 tBodyGyro.mean...Y -0.068264792706383
walking_downstairs 17 tBodyGyro.mean...Y -0.123517195928261
walking_downstairs 18 tBodyGyro.mean...Y -0.0636214336761818
walking_downstairs 19 tBodyGyro.mean...Y 0.0274707556666667
walking_downstairs 20 tBodyGyro.mean...Y 0.0139023395111111
walking_downstairs 21 tBodyGyro.mean...Y 0.0162145300888889
walking_downstairs 22 tBodyGyro.mean...Y -0.0697154455833333
walking_downstairs 23 tBodyGyro.mean...Y -0.0853077464277778
walking_downstairs 24 tBodyGyro.mean...Y -0.0542300245127273
walking_downstairs 25 tBodyGyro.mean...Y -0.101115076366897
walking_downstairs 26 tBodyGyro.mean...Y -0.1003822042168
walking_downstairs 27 tBodyGyro.mean...Y -0.0163131590545455
walking_downstairs 28 tBodyGyro.mean...Y 0.00710564286763044
walking_downstairs 29 tBodyGyro.mean...Y -0.0851045889895833
walking_downstairs 30 tBodyGyro.mean...Y -0.0693112411951613
walking_upstairs 1 tBodyGyro.mean...Y -0.166170015088679
walking_upstairs 2 tBodyGyro.mean...Y -0.0320883097395833
walking_upstairs 3 tBodyGyro.mean...Y -0.139275405637288
walking_upstairs 4 tBodyGyro.mean...Y -0.0859471683596154
walking_upstairs 5 tBodyGyro.mean...Y -0.117195551802128
walking_upstairs 6 tBodyGyro.mean...Y -0.0518981989072549
walking_upstairs 7 tBodyGyro.mean...Y -0.00247161973
walking_upstairs 8 tBodyGyro.mean...Y -0.204205356087805
walking_upstairs 9 tBodyGyro.mean...Y -0.0412587909579592
walking_upstairs 10 tBodyGyro.mean...Y -0.0954600216446809
walking_upstairs 11 tBodyGyro.mean...Y -0.0566928808703704
walking_upstairs 12 tBodyGyro.mean...Y -0.0411314519307692
walking_upstairs 13 tBodyGyro.mean...Y 0.00381966911090909
walking_upstairs 14 tBodyGyro.mean...Y -0.123499570044444
walking_upstairs 15 tBodyGyro.mean...Y -0.154721289270833
walking_upstairs 16 tBodyGyro.mean...Y -0.0486136789705882
walking_upstairs 17 tBodyGyro.mean...Y -0.0548455941370417
walking_upstairs 18 tBodyGyro.mean...Y -0.0526133819862069
walking_upstairs 19 tBodyGyro.mean...Y -0.134514320575
walking_upstairs 20 tBodyGyro.mean...Y -0.174650964745098
walking_upstairs 21 tBodyGyro.mean...Y -0.155622431382979
walking_upstairs 22 tBodyGyro.mean...Y -0.181458414495238
walking_upstairs 23 tBodyGyro.mean...Y -0.111564389137255
walking_upstairs 24 tBodyGyro.mean...Y -0.105932947294915
walking_upstairs 25 tBodyGyro.mean...Y -0.109437658104615
walking_upstairs 26 tBodyGyro.mean...Y -0.0657601804418182
walking_upstairs 27 tBodyGyro.mean...Y 0.00212499391686275
walking_upstairs 28 tBodyGyro.mean...Y 0.0212250958019608
walking_upstairs 29 tBodyGyro.mean...Y -0.152328112210204
walking_upstairs 30 tBodyGyro.mean...Y -0.0779606464676923
laying 1 tBodyGyro.mean...Z 0.14868943626
laying 2 tBodyGyro.mean...Z 0.144882846104167
laying 3 tBodyGyro.mean...Z 0.137999561112903
laying 4 tBodyGyro.mean...Z 0.169720404092593
laying 5 tBodyGyro.mean...Z 0.159894366942308
laying 6 tBodyGyro.mean...Z 0.179102058245614
laying 7 tBodyGyro.mean...Z 0.155920029769231
laying 8 tBodyGyro.mean...Z 0.13818830737037
laying 9 tBodyGyro.mean...Z 0.101275010682
laying 10 tBodyGyro.mean...Z 0.104720478344828
laying 11 tBodyGyro.mean...Z 0.152019015929825
laying 12 tBodyGyro.mean...Z 0.14519184795
laying 13 tBodyGyro.mean...Z 0.117819614790323
laying 14 tBodyGyro.mean...Z 0.149124058235294
laying 15 tBodyGyro.mean...Z 0.113451899791667
laying 16 tBodyGyro.mean...Z 0.0966210349428571
laying 17 tBodyGyro.mean...Z 0.111440490309859
laying 18 tBodyGyro.mean...Z 0.0937781948153846
laying 19 tBodyGyro.mean...Z 0.10860511373494
laying 20 tBodyGyro.mean...Z 0.123680209926471
laying 21 tBodyGyro.mean...Z 0.0980906517
laying 22 tBodyGyro.mean...Z 0.145003879319444
laying 23 tBodyGyro.mean...Z 0.111078594708333
laying 24 tBodyGyro.mean...Z 0.111730746333333
laying 25 tBodyGyro.mean...Z 0.139718671465753
laying 26 tBodyGyro.mean...Z 0.152436344328947
laying 27 tBodyGyro.mean...Z 0.118738360783784
laying 28 tBodyGyro.mean...Z 0.09357912315
laying 29 tBodyGyro.mean...Z 0.127411971652174
laying 30 tBodyGyro.mean...Z 0.0938472163142857
sitting 1 tBodyGyro.mean...Z 0.0629313811914894
sitting 2 tBodyGyro.mean...Z 0.0412277462173913
sitting 3 tBodyGyro.mean...Z 0.0940113975530769
sitting 4 tBodyGyro.mean...Z 0.10115033478
sitting 5 tBodyGyro.mean...Z 0.0823934451590909
sitting 6 tBodyGyro.mean...Z 0.0854346006181818
sitting 7 tBodyGyro.mean...Z 0.0259476655145833
sitting 8 tBodyGyro.mean...Z 0.0716048809782609
sitting 9 tBodyGyro.mean...Z 0.0807919285908
sitting 10 tBodyGyro.mean...Z 0.0745958869444444
sitting 11 tBodyGyro.mean...Z 0.0761739419056604
sitting 12 tBodyGyro.mean...Z 0.0728462158235294
sitting 13 tBodyGyro.mean...Z 0.0823432026610204
sitting 14 tBodyGyro.mean...Z 0.0928523607037037
sitting 15 tBodyGyro.mean...Z 0.0951978083898305
sitting 16 tBodyGyro.mean...Z 0.0795736310463768
sitting 17 tBodyGyro.mean...Z 0.0860053803375
sitting 18 tBodyGyro.mean...Z 0.0848140511754386
sitting 19 tBodyGyro.mean...Z 0.0968980718168493
sitting 20 tBodyGyro.mean...Z 0.0642882138333333
sitting 21 tBodyGyro.mean...Z 0.0831326042823529
sitting 22 tBodyGyro.mean...Z 0.0804426775241936
sitting 23 tBodyGyro.mean...Z 0.0645673209117647
sitting 24 tBodyGyro.mean...Z 0.0800440230882353
sitting 25 tBodyGyro.mean...Z 0.0852783892769231
sitting 26 tBodyGyro.mean...Z 0.0711109471666667
sitting 27 tBodyGyro.mean...Z 0.0833752812157143
sitting 28 tBodyGyro.mean...Z 0.087025401375
sitting 29 tBodyGyro.mean...Z 0.0580495969166667
sitting 30 tBodyGyro.mean...Z 0.0702002598387097
standing 1 tBodyGyro.mean...Z 0.074800751
standing 2 tBodyGyro.mean...Z 0.0878351695481481
standing 3 tBodyGyro.mean...Z 0.0665262054098361
standing 4 tBodyGyro.mean...Z 0.0755636430892857
standing 5 tBodyGyro.mean...Z 0.0690945763946429
standing 6 tBodyGyro.mean...Z 0.0767394745964912
standing 7 tBodyGyro.mean...Z 0.0851045000566038
standing 8 tBodyGyro.mean...Z 0.063688907
standing 9 tBodyGyro.mean...Z 0.0992409332222222
standing 10 tBodyGyro.mean...Z 0.103251560681818
standing 11 tBodyGyro.mean...Z 0.0810588216170213
standing 12 tBodyGyro.mean...Z 0.074256819
standing 13 tBodyGyro.mean...Z 0.085471246877193
standing 14 tBodyGyro.mean...Z 0.07904758875
standing 15 tBodyGyro.mean...Z 0.0761946738773585
